Dataset,n,Greedy,SA Mean,SA Std,Improvement %,Greedy ms,SA ms
small,15,7.5653,7.730900000000001,6.620091075326061e-16,2.188941615005371,0.1796669967006892,124.6340459001658
medium,75,15.871,15.91977,0.0406161448468738,0.30729002583327647,2.5607499992474914,237.89500850034528
bangkok_real,150,19.895599999999998,19.93493,0.08333158731504234,0.19768189951548681,8.960457998909988,297.66133749944856
large,300,25.4394,25.44484,0.017202790471316336,0.021384152141953473,33.04087499418529,423.2707331997517
hard,100,11.7102,11.828619999999999,0.14384550972020835,1.0112551450871774,3.9095419997465797,222.8412043004937
